,Country,Confirmed,proportion infected,Deaths,GDP,Population Density,2021 Population,Area,Literacy,Employment,Population 65 +,Foreigners
127,South Africa,2889298,4812.13,86500,302,49,60041994,1221037,0.791472382,0.584096612,0.142852955,0.020877779
128,South Korea,292699,570.51,2427,1631,512,51305186,100210,0.896187488,0.896187488,0.042373281,0.082420508
129,Spain,4940824,10569.69,86085,1281,92,46745216,505992,0.919231477,0.703707993,0.195791342,0.012135209
130,Sri Lanka,508672,2366.21,12376,80.71,328,21497310,65610,0.956985681,0.933573448,0.078718426,0.120949587
131,Suriname,38769,6551.03,825,3.81,4,591800,163820,0.757578681,0.905129094,0.081270903,0.001889394
132,Sweden,1147879,11297.83,14809,538,23,10160169,450295,0.990000001,0.940532352,0.199985398,0.066085803
133,Switzerland,830251,9526.15,11027,748,211,8715494,41284,0.990000001,0.954006997,0.186590035,0.150419046
134,Tajikistan,17484,179.33,125,8.19,68,9749627,143100,0.997655715,0.941194158,0.031033473,0.271340756
135,Tanzania,1367,2.22,50,62.41,65,61498437,945087,0.705184583,0.896187488,0.038657748,0.089551740
136,Thailand,1511357,2160.6,15753,502,136,69950850,513120,0.964181651,0.899838625,0.087036293,0.089551740
137,Timor-Leste,19206,1429.15,108,2.018,90,1343873,14874,0.501154308,0.982768381,0.05792456,0.027710807
138,Tunisia,702503,5885.7,24654,39.24,73,11935766,163610,0.771101695,0.896187488,0.078454737,0.012288805
139,Turkey,6932423,8151.69,62307,720,109,85042738,783562,0.951431899,0.920514762,0.074310576,0.012841156
140,Uganda,122502,259.96,3135,37.37,195,47123531,241550,0.682236451,0.953262996,0.028599221,0.015966639
141,Ukraine,2468567,5679.2,58754,156,72,43466819,603500,0.96469225,0.896187488,0.171244263,0.371886475
142,United Kingdom,7565751,11092.32,135961,2708,281,68207116,242900,0.990000001,0.924983733,0.182456836,0.12651479
143,United States,42543510,12779.09,681192,20937,36,332915073,9372610,0.990000001,0.896187488,0.160257983,0.110538264
144,Uruguay,388068,11134.9,6049,53.63,19,3485151,181034,0.94955232,0.936521517,0.147932504,0.023434535
145,Venezuela,358462,1248.78,4346,482,31,28704954,916445,0.950790191,0.911164595,0.072737746,0.042477632
146,Vietnam,718963,732.37,17781,271,296,98168833,331212,0.938752536,0.970941893,0.077088965,0.089551740
147,Zambia,208676,1102.9,3639,19.32,25,18920651,752612,0.815428007,0.877331035,0.026460845,0.009906799
148,Zimbabwe,128804,853.45,4592,16.77,39,15092171,390757,0.865000001,0.883405477,0.040708542,0.089551740
